Latin_Name,Common_Name,Family_Name,Plant_Type,Bloom_Time,Flower_Color,Size_at_Maturity,Climate_Appropriate_Plants,Plant_Communities,Suitable_Site_Conditions,Soil_Type,Pruning_Needs,Water_Needs,Habitat_Value,Associated_Wildlife,Stormwater_Benefit,Stormwater_int,Appropriate_Location,Additional_Characteristices_Notes
Arbutus menziesii,Madrone,Ericaceae,Tree (evergreen),Spring,White,8.0,SF Native,Woodland,"Sun,Shade","Clay,Loam,Rock",Structural pruning,Low,"Cover,Fruit,Nesting,Pollinator",Bees;Birds;Butterflies;Hummingbirds,No,0.0,Garden,Peeling red bark.
Arbutus x 'Marina',Marina Strawberry Tree,Ericaceae,Tree (evergreen),"Fall,Winter",Pink,6.0,Exotic,,Sun,,,Low,,Birds; Butterflies,No,0.0,Sidewalk,Fruit drop can range from low volume to significant.
Aristolochia californica,Dutchman's Pipevine,Aristolochiaceae,Vine,"Spring,Winter",Burgundy,8.0,SF Native,"Coastal scrub,Woodland","Sun,Part shade","Clay,Loam",,Low,"Buds/greens,Cover,Pollinator",Butterflies;Insects,Yes,1.0,Garden,Slow grower. Attracts Pipe Vine Swallowtail (Battus philenor).
Armeria maritima var. californica,Sea Thrift,Plumbaginaceae,Perennial,Summer,Pink,1.0,SF Native,"Coastal scrub,Dunes",Sun,"Loam,Sand,Rock",,,Pollinator,Butterflies,Yes,1.0,Garden;Sidewalk;Roof,"Not recommended for east side planting (strictly sand dune plant), may need additional moisture in a garden environment. Attracts Green Hairstreak (Callophrys viridis)."
Artemisia californica,California Sagebrush,Asteraceae,Shrub (evergreen),Summer,Yellow,2.0,SF Native,Coastal scrub,"Sun,Part shade","Clay,Loam,Sand,Rock",,,"Cover,Nesting",Bees;Birds;Butterflies,Yes,1.0,Garden;Sidewalk;Roof,Resilient and good visual. Attracts Nutall's White-Crowned Sparrow (Zonotrichia leucophrys nuttalli).
Artemisia pycnocephala,Dune Sagewort,Asteraceae,Shrub (evergreen),Summer,Yellow,2.0,SF Native,Dunes,"Sun,Part shade","Clay,Loam,Sand,Rock",,,"Cover,Nesting",Bees,No,0.0,Garden;Sidewalk;Roof,"Excellent visually, but limited to coastal sand dunes."
Asarum caudatum,Wild Ginger,Aristolochiaceae,Perennial,Spring,Burgundy,0.2,CA Native,Woodland,"Part shade,Shade","Clay,Loam",,Moderate,Cover,No data,Yes,1.0,Sidewalk;Garden,
Asclepias fascicularis,Narrowleaf Milkweed,Apocynaceae,Perennial,Summer,"Pink,White",1.0,CA Native,"Chaparral,Riparian,Woodland","Sun,Part shade","Clay,Loam,Sand,Rock",,Low,"Buds/greens,Pollinator",Bees;Birds;Butterflies;Insects,Yes,1.0,Sidewalk;Garden,"Spreads easily, and may need confinement. Keep away from children/pets. Speciosa may be preferable. Attracts Monarch butterfly (Danaus plexippus)."
Cirsium occidentale var. occidentale,Cobweb Thistle,Asteraceae,Perennial,Summer,Pink,1.0,SF Native,"Coastal scrub,Dunes,Grassland/prairie,Woodland",Sun,"Clay,Loam",,Low,"Buds/greens,Pollinator",Bees;Birds;Butterflies;Hummingbirds;Insects,No,0.0,Garden,"Very temperamental plant. Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies."
Baccharis pilularis,Coyotebrush,Asteraceae,Shrub (evergreen),Fall,White,3.0,SF Native,"Coastal scrub,Dunes","Sun,Part shade","Clay,Loam,Sand,Rock",,,"Buds/greens,Cover,Nesting,Pollinator",Bees;Birds;Butterflies;Insects,Yes,1.0,Sidewalk;Garden,"Amazing for wildlife. Attracts Western fence lizard, Nutall's White-crowned Sparrow, Gray Hairstreak (Strymon melinus), and Common Buckeye (Junonia coeni)."
Berberis pinnata,Coast Barberry,Berberidaceae,Shrub (evergreen),Spring,Yellow,2.0,SF Native,"Coastal scrub,Woodland",Part shade,Clay,,Low,"Buds/greens,Pollinator",Bees;Birds,Yes,1.0,Garden,Attracts Cedar Waxwing (Bombycilla cedrorum) bird.
Bolboschoenus robustus,Alkali Bulrush / Sturdy Bulrush,Cyperaceae,Perennial,Summer,Brown,2.0,SF Native,"Riparian,Wetland","Sun,Part shade","Clay,Loam,Sand",,Moderate,"Fruit,Nesting",Birds,No,0.0,Garden,
Brahea edulis,Guadalupe Palm,Arecaceae,Tree (evergreen),,,8.0,Exotic,,Sun,,,Low,,,No,0.0,Sidewalk,Very slow growing in San Francisco.
Bromus carinatus ,California Brome,Poaceae,Grass,Winter,Yellow,2.0,SF Native,"Chaparral,Coastal scrub,Dunes,Grassland/prairie,Woodland",Sun,"Clay,Loam,Sand,Rock",,,"Cover,Fruit,Nesting",Birds;Butterflies,Yes,1.0,Garden,Attracts Umber Skipper butterfly.
Bromus laevipes,Woodland Brome,Poaceae,Grass,Summer,Green,2.0,CA Native,"Chaparral,Grassland/prairie,Woodland",Shade,"Clay,Loam,Sand,Rock",,,Pollinator,Birds,No,0.0,Garden,Needs to be planted with other grasses.
Calamagrostis nutkaensis,Pacific Reedgrass,Poaceae,Grass,Spring,"Pink,White",2.0,SF Native,"Wetland,Woodland","Sun,Part shade",Clay,,Low,Buds/greens,Insects,Yes,1.0,Sidewalk;Garden,"Needs fog and moisture, and tolerates wind well."
Callistemon citrinus,Lemon Bottlebrush,Myrtaceae,Tree (evergreen),"Spring,Summer",Red,6.0,Exotic,,Sun,,,Low,Pollinator,Birds;Hummingbirds;Butterflies;Bees,No,0.0,Sidewalk,"Grows low, and wide canopy and needs a wide sidewalk, sticky flowers."
Callistemon viminalis,Weeping Bottlebrush,Myrtaceae,Tree (evergreen),"Spring,Summer",Red,8.0,Exotic,,"Sun,Part shade",,,Low,,Birds;Insects;Hummingbirds;Bees,No,0.0,Sidewalk,Has sticky flowers.
Calycanthus occidentalis,Spice Bush,Calycanthaceae,Shrub (evergreen),Summer,Burgundy,3.0,CA Native,"Wetland,Woodland","Sun,Shade","Clay,Loam,Sand",,Low,Buds/greens,Birds;Insects,Yes,1.0,Garden,
Calystegia soldanella,Beach Morning Glory,Convolvulaceae,Perennial,Spring,Pink,1.0,SF Native,Dunes,Sun,Sand,,,Buds/greens,Insects,No,0.0,Garden,"Needs dunes and shifting sand, most likely by ocean beach."
Carex pansa,Pacific Dune Sedge,Cyperaceae,Perennial,Spring,Brown,0.2,CA Native,Dunes,Sun,Sand,,Moderate,,No data,Yes,1.0,Garden;Roof,"Practical plant that is a dry grower and needs sand dunes. Can form a tight, tough mat."
Carex praegracilis,Clustered Field Sedge,Cyperaceae,Perennial,Summer,Green,1.0,SF Native,Wetland,Sun,"Clay,Loam,Sand,Rock",Cut to ground,Moderate,Nesting,Birds;Butterflies,Yes,1.0,Garden;Roof,"Suitable lawn alternative, and can tolerate standing water."
Castilleja ambigua,Salt Marsh Owl’s-clover,Orobanchaceae,Annual,Summer,"White,Yellow",0.2,SF Native,"Riparian,Wetland",Sun,"Clay,Loam,Sand",,Moderate,"Buds/greens,Pollinator",Butterflies;Insects,No,0.0,Garden,"Hemiparasitic (Need root system of other plants for moisture and minerals) - favor composite family such as artemisia, sagebrush, coyotebush, pearly everlasting). Attracts Chalcedon Checkerspot (Euphydryas chalcedona) butterfly."
Cirsium quercetorum,Brownie Thistle,Asteraceae,Perennial,Summer,White,1.0,SF Native,"Grassland/prairie,Woodland","Sun,Part shade","Clay,Loam",,Low,"Buds/greens,Pollinator",Bees;Butterflies;Insects,No,0.0,Garden,"Short plant that spreads well by runners. Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies."
Castilleja latifolia,Monterey Indian Paintbrush,Orobanchaceae,Perennial,"Spring,Summer","Orange,Red",0.2,SF Native,"Coastal scrub,Dunes,Grassland/prairie",Sun,"Clay,Loam,Sand",,Low,"Buds/greens,Pollinator",Butterflies;Insects,No,0.0,Garden;Roof,"Hemiparasitic (Need root system of other plants for moisture and minerals) - favor composite family such as artemisia, sagebrush, coyotebush, pearly everlasting). Attracts Chalcedon Checkerspot (Euphydryas chalcedona) butterfly."
Castilleja subinclusa ssp. franciscana,Franciscan Paintbrush,Orobanchaceae,Perennial,Summer,"Orange,Red",1.0,SF Native,"Coastal scrub,Grassland/prairie,Woodland",Sun,"Clay,Rock",,Low,"Buds/greens,Pollinator",Butterflies;Insects,No,0.0,Garden,"Hemiparasitic (Need root system of other plants for moisture and minerals) - favor composite family such as artemisia, sagebrush, coyotebush, pearly everlasting). Attracts Chalcedon Checkerspot (Euphydryas chalcedona) butterfly."
Claytonia perfoliata,Miner's Lettuce,Montiaceae,Annual,"Spring,Winter","Pink,White",0.2,SF Native,"Chaparral,Coastal scrub,Woodland",Part shade,"Clay,Loam,Sand",,Low,"Buds/greens,Cover,Fruit,Pollinator",Birds;Insects,No,0.0,Garden,Prolific plant. Attracts Mourning Doves and California Quail.
Castilleja wightii,Wight's Paintbrush,Orobanchaceae,Perennial,Summer,"Red,White,Yellow",1.0,SF Native,"Coastal scrub,Grassland/prairie,Woodland",Sun,"Clay,Loam,Sand",,Low,"Buds/greens,Pollinator",Butterflies;Insects,No,0.0,Garden,"Hemiparasitic (Need root system of other plants for moisture and minerals) - favor composite family such as artemisia, sagebrush, coyotebush, pearly everlasting). Attracts Chalcedon Checkerspot (Euphydryas chalcedona) butterfly."
Ceanothus 'Ray Hartman',Ray Hartman Ceanothus,Rhamnaceae,Tree (evergreen),Spring,Blue,6.0,CA Native,,Sun,"Loam,Sand",,,,Birds;Hummingbirds;Butterflies,No,0.0,Sidewalk,
Ceanothus thyrsiflorus ,Blueblossom,Rhamnaceae,Shrub (evergreen),Spring,Blue,1.0,SF Native,"Chaparral,Coastal scrub,Woodland",Sun,"Clay,Loam",Minimal,,"Buds/greens,Cover,Pollinator",Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,1.0,Sidewalk;Garden,"Fragrant flowers. Attracts Cedar Waxwing bird and Echo Blue (Celestrina ladon echo), California Tortoiseshell (Nymphalis californica) butterflies."
Celtis sinensis,Chinese Hackberry,Ulmaceae,Tree (deciduous),Spring,,8.0,Exotic,,Sun,,,Low,,Birds;Butterflies,No,0.0,Sidewalk,"Prefers heat, wind protection, uneven performer."
Cercis occidentalis,Redbud,Fabaceae,Tree (deciduous),Spring,Pink,6.0,CA Native,"Chaparral,Woodland","Sun,Part shade","Clay,Loam,Sand,Rock",,,Pollinator,Bees;Birds;Hummingbirds,Yes,1.0,Garden,
Chlorogalum pomeridianum,Soap Plant,Agavaceae,Perennial,Summer,White,1.0,SF Native,"Chaparral,Coastal scrub,Grassland/prairie,Woodland","Sun,Part shade","Clay,Loam,Sand",,Low,"Buds/greens,Pollinator",Bees;Butterflies;Insects,No,0.0,Garden,Tough plant that is easy to grow. Flowers only open in evening or very overcast weather.
Cirsium brevistylum,Indian Thistle,Asteraceae,Perennial,"Spring,Summer",Indigo,2.0,SF Native,"Coastal scrub,Woodland","Sun,Part shade","Clay,Loam,Rock",,,"Buds/greens,Pollinator",Bees;Butterflies;Insects,No,0.0,Garden,"Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies."
Cirsium occidentale var. californicum,California Thistle,Asteraceae,Perennial,Summer,Indigo,3.0,CA Native,"Coastal scrub,Dunes,Grassland/prairie,Woodland","Sun,Part shade","Clay,Loam,Sand,Rock",,,"Buds/greens,Pollinator",Bees;Butterflies;Insects,No,0.0,Garden;Roof,"Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies."
Cirsium occidentale var. candidissimum,Snowy Thistle,Asteraceae,Perennial,Summer,Magenta,3.0,CA Native,"Coastal scrub,Dunes,Grassland/prairie,Woodland","Sun,Part shade","Clay,Loam,Sand,Rock",,,"Buds/greens,Pollinator",Bees;Butterflies;Insects,No,0.0,Garden,"Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies."
Cirsium occidentale var. compactum,Compact Cobweb Thistle,Asteraceae,Perennial,Spring,Magenta,2.0,SF Native,"Coastal scrub,Dunes,Grassland/prairie,Woodland","Sun,Part shade","Clay,Loam,Sand,Rock",,,"Buds/greens,Pollinator",Bees;Butterflies;Insects,No,0.0,Garden;Roof,"Rare: CNPS 1B.2 . Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies."
Clarkia davyi,Davy's Clarkia,Onagraceae,Annual,Summer,Pink,2.0,SF Native,"Coastal scrub,Dunes,Grassland/prairie","Sun,Part shade","Clay,Loam,Sand",,Low,Pollinator,"Bees, Butterflies",No,0.0,Garden,
Clarkia purpurea,Winecup Clarkia,Onagraceae,Annual,"Spring,Summer",Pink,0.2,SF Native,"Coastal scrub,Dunes,Grassland/prairie","Sun,Part shade","Clay,Loam,Sand",,Low,Pollinator,"Bees, Butterflies",No,0.0,Garden,
Clarkia rubicunda,Farewell To Spring,Onagraceae,Annual,Summer,Pink,1.0,SF Native,"Coastal scrub,Dunes,Grassland/prairie","Sun,Part shade","Clay,Loam",,,Pollinator,"Bees, Butterflies",No,0.0,Garden,
Clarkia unguiculata,Woodland Clarkia,Onagraceae,Annual,Summer,Pink,2.0,CA Native,"Coastal scrub,Dunes,Grassland/prairie","Sun,Part shade","Clay,Loam,Sand",,Low,Pollinator,"Bees, Butterflies",No,0.0,Garden;Roof,
Asplenium scolopendrium,Hart's Tongue Fern,Aspleniaceae,Fern,,,1.0,Exotic,,"Part shade,Shade",,,Low,,,,,Garden,
Clematis ligusticifolia,Western Virgin's Bower,Ranunculaceae,Perennial,Summer,White,8.0,CA Native,Wetland,"Sun,Part shade","Loam,Sand",,Moderate,"Cover,Pollinator",Butterflies;Hummingbirds,Yes,1.0,Garden;Roof,
Clinopodium douglasii,Yerba Buena,Lamiaceae,Perennial,Summer,White,0.2,SF Native,"Coastal scrub,Woodland",Part shade,"Clay,Loam,Sand,Rock",Minimal,Low,Cover,No data,Yes,1.0,Garden;Roof,Temperamental and may not persist. Fragrant foliage.
Collinsia heterophylla,Chinese Houses,Plantaginaceae,Annual,"Spring,Summer",Purple,2.0,SF Native,"Chaparral,Grassland/prairie,Woodland","Sun,Part shade","Clay,Loam,Sand",,Low,Buds/greens,Bees;Butterflies;Insects,No,0.0,Garden,Rare plant. Attracts Checkerspot Butterfly.
Cordyline australis,Cabbage Palm,Asparagaceae,Tree (evergreen),Summer,,6.0,Exotic,,"Sun,Part shade",,,Low,,,No,0.0,Sidewalk,"Needs very large basin, take care when planting near natural areas."
Corethrogyne filaginifolia,Common Sand Aster,Asteraceae,Perennial,Summer,"Pink,Purple",1.0,CA Native,"Chaparral,Coastal scrub,Dunes","Sun,Part shade","Clay,Loam,Sand",,Low,"Buds/greens,Pollinator",Bees;Butterflies;Insects,No,0.0,Garden;Roof,
Cornus sericea,American Dogwood,Cornaceae,Shrub (deciduous),"Spring,Summer",White,2.0,SF Native,"Riparian,Wetland","Sun,Part shade","Clay,Loam,Sand,Rock",,Moderate,"Buds/greens,Cover,Pollinator",Bees;Birds;Butterflies;Insects,Yes,1.0,Garden,Attracts Sprin Azure / Echo Blue (Celastrina ladon echo) butterfly.
Cornus sericea ssp. occidentalis,California Dogwood,Cornaceae,Shrub (deciduous),Summer,White,3.0,SF Native,"Riparian,Wetland","Sun,Shade","Clay,Loam,Sand,Rock",,Moderate,Buds/greens,Birds;Insects,No,0.0,Garden,Attracts Cedar Waxwing bird.
Corylus cornuta,California Hazelnut,Betulaceae,Tree (deciduous),Winter,Red,3.0,SF Native,"Coastal scrub,Riparian,Woodland","Sun,Shade","Clay,Loam,Sand",,Low,Fruit,Birds,Yes,1.0,Garden,
Corymbia ficifolia,Red Flowering Gum,Myrtaceae,Tree (evergreen),Summer,Red,8.0,Exotic,,Sun,,,Low,,Bees;Birds;Butterflies,No,0.0,Sidewalk,"Needs a very large basin, wide sidewalk."
Crataegus phaenopyrum,Washington Hawthorn,Rosaceae,Tree (deciduous),Spring,White,6.0,Exotic,,"Sun,Part shade",,,Low,,Birds;Butterflies;Bees,No,0.0,Sidewalk,"Subject to pests, has thorns, may be susceptible to fireblight."
Crataegus x Lavallei,Lavallée's Hawthorn,Rosaceae,Tree (deciduous),,White,6.0,Exotic,,,,,Low,,,No,0.0,Sidewalk,
Cressa truxillensis,Alkali Weed,Convolvulaceae,Perennial,Summer,White,0.2,CA Native,"Chaparral,Wetland","Sun,Shade","Loam,Sand",Minimal,Low,,No data,No,0.0,Garden,
Syagrus romanzoffiana,Queen Palm,Arecaceae,Tree (evergreen),,,8.0,Exotic,,Sun,,,Low,,,No,0.0,Sidewalk;Garden,"Needs heat, wind protection."
Symphoricarpos albus,Common Snowberry,Caprifoliaceae,Shrub (deciduous),Summer,Pink,1.0,SF Native,"Coastal scrub,Woodland","Sun,Part shade,Shade","Clay,Loam,Sand,Rock",,Low,"Cover,Fruit",Birds;Hummingbirds;Insects,Yes,1.0,Sidewalk;Garden,"Attracts quail, pheasant, and grouse."
Symphoricarpos mollis,Trailing Snowberry,Caprifoliaceae,Shrub (deciduous),"Spring,Summer",Pink,1.0,SF Native,"Coastal scrub,Woodland","Sun,Part shade,Shade","Clay,Loam,Sand",,Low,"Cover,Fruit,Nesting,Pollinator",Bees;Birds;Butterflies,No,0.0,Garden,
Symphyotrichum chilense,Wild Aster,Asteraceae,Perennial,Summer,Pink,1.0,SF Native,"Chaparral,Coastal scrub,Dunes,Grassland/prairie,Riparian,Woodland",Sun,"Clay,Loam,Sand,Rock",,,"Buds/greens,Pollinator",Bees;Birds;Butterflies;Insects,No,0.0,Garden;Roof,Attracts Field Crescent (Phyciodes campestris) butterfly.
Tanacetum bipinnatum,Dune Tansy,Asteraceae,Perennial,"Summer,Fall",Yellow,1.0,SF Native,Dunes,Sun,Sand,,,,No data,No,0.0,Garden;Roof,
Tellima grandiflora,Fringe Cups,Saxifragaceae,Perennial,"Spring,Summer","Pink,White",1.0,SF Native,"Coastal scrub,Woodland","Part shade,Shade","Clay,Loam",,Low,"Cover,Pollinator",Birds;Butterflies;Hummingbirds,No,0.0,Garden,"Self-sowing, but not weedy."
Tilia cordata,Littleleaf Linden,Malvaceae,Tree (deciduous),Spring,Yellow,8.0,Exotic,,Sun,,,Low,,Butterflies,No,0.0,Sidewalk;Garden,Slow grower.
Trifolium fucatum,Bull Clover,Fabaceae,Annual,Spring,"Red,White",1.0,SF Native,"Coastal scrub,Riparian,Woodland",Sun,"Clay,Loam,Sand",,Moderate,,Butterflies;Insects,No,0.0,Garden,Wet grower. Attracts Orange Sulphur (Colias eurytheme).
Trifolium gracilentum,Pinpoint Clover,Fabaceae,Annual,Spring,"Pink,Purple,White",1.0,SF Native,"Grassland/prairie,Woodland",Sun,"Clay,Loam,Sand",,Low,,Butterflies;Insects,No,0.0,Garden,Attracts Orange Sulphur (Colias eurytheme).
Trifolium variegatum,Whitetip Clover,Fabaceae,Annual,"Spring,Summer","Pink,Purple,White",1.0,SF Native,"Coastal scrub,Riparian,Woodland",Sun,"Clay,Loam,Sand",,Low,,Butterflies;Insects,No,0.0,Garden,Attracts Orange Sulphur (Colias eurytheme).
Trifolium willdenovii,Tomcat Clover,Fabaceae,Annual,Spring,"Pink,Purple,White",1.0,SF Native,"Chaparral,Grassland/prairie,Woodland","Sun,Part shade","Clay,Loam",,,Pollinator,Bees;Birds;Butterflies,No,0.0,Garden,Attracts Orange Sulphur (Colias eurytheme) and Bay Checkerspot butterflies.
Trifolium wormskioldii,Cow Clover,Fabaceae,Perennial,Spring,Pink,0.2,SF Native,"Chaparral,Grassland/prairie,Riparian,Wetland,Woodland","Sun,Part shade","Clay,Loam,Sand",,Moderate,,No data,No,0.0,Garden,Wet grower.
Tristaniopsis laurina,Water Gum,Myrtaceae,Tree (evergreen),Spring,Yellow,6.0,Exotic,,Sun,"Clay,Loam,Sand",,,,,Yes,1.0,Sidewalk;Garden,
Euthamia occidentalis,Western Goldenrod,Asteraceae,Perennial,"Summer,Fall",Yellow,2.0,SF Native,"Grassland/prairie,Riparian,Wetland","Sun,Part shade","Clay,Loam,Sand",,Low,Pollinator,Bees;Butterflies,yes,1.0,Garden,
Tristaniopsis laurina  'Elegant',Elegant Brisbane Box,Myrtaceae,Tree (evergreen),"Spring,Summer",Yellow,6.0,Exotic,,Sun,,,Low,,,No,0.0,Sidewalk;Garden,"Foremerly know as Tristania laurina ‘Elegant’; grows slowly, irregular form, mod-high maintenance."
Typha domingensis,Southern Cattail,Typhaceae,Perennial,"Spring,Summer",Brown,3.0,SF Native,"Riparian,Wetland",Sun,"Clay,Loam,Sand",,Moderate,"Cover,Nesting",Birds,No,0.0,Garden,"Wet grower, fresh water, travels and can be a maintenance problem very easily. Attracts Red-Wing Black bird."
Typha latifolia,Broadleaf Cattail,Typhaceae,Perennial,Spring,"Brown,Yellow",3.0,SF Native,"Riparian,Wetland",Sun,"Clay,Loam,Sand",,Moderate,"Cover,Nesting",Birds,yes,1.0,Garden,"Wet grower, fresh water, travels and can be a maintenance problem very easily."
"Ulmus parvifolia 'Drake', 'Sempervirens'",Drake/sempervirens Chinese Elm,Ulmaceae,Tree (deciduous),,,8.0,Exotic,Exotic,Sun,,,Low,,"Butterflies, Birds",No,0.0,Sidewalk,"Fast grower, which initially requires higher maintenance."
Urtica dioica ssp. gracilis,Stinging Nettle,Urticaceae,Perennial,"Spring,Summer","Green,White",2.0,SF Native,"Riparian,Wetland","Sun,Part shade","Clay,Loam,Sand",,Moderate,Buds/greens,Butterflies;Insects,No,0.0,Garden,"Attracts Red Admiral (Vanessa atalanta), Satyr Anglewing (Polygonia satyrus), and West Coast Lady (Vanessa annabella)."
Urtica dioica ssp. holosericea,Hoary Nettle,Urticaceae,Perennial,Summer,Yellow,2.0,SF Native,"Riparian,Wetland",Sun,"Clay,Loam,Sand",,Low,Buds/greens,Butterflies;Insects,No,0.0,Garden,"Attracts Red Admiral (Vanessa atalanta), Satyr Anglewing (Polygonia satyrus), West Coast Lady (Vanessa annabella)."
